Date,Deck,Source,Cut,Add,Cut Rank,Cut Of,Cut Protected,Add Surfaced,Add Rank,Add Of
2026-07-28,40a,swap,Floodpits Drowner,Bottomless Pool // Locker Room,24,30,no,no,762,1639
2026-07-28,40a,swap,Portent of Calamity,"Beast, Erudite Aerialist",3,30,no,no,152,1639
2026-07-28,11,swap,Last Gasp,Super-Adaptoid,2,36,no,no,171,934
2026-07-28,23,swap,Brave Brawler,Super-Adaptoid,24,35,no,no,393,932
2026-07-28,40a,swap,Druid of the Cowl,"Venus, Torn Between Worlds",13,30,no,no,335,1639
2026-07-28,23,swap,Aerith Rescue Mission,Erode,3,35,no,no,794,934
2026-07-28,23,swap,Dauntless Veteran,Curious Farm Animals,14,35,no,no,610,934
2026-07-28,23,swap,"U.S.Agent, John Walker",Coordinated Maneuver,22,35,no,no,880,935
2026-07-28,23,swap,Stagecoach Security,Virtue of Loyalty,30,35,no,no,461,934
2026-07-28,23,swap,Stasis Snare,Static Snare,13,35,no,no,82,934
2026-07-28,23,swap,Captain America's Shield,Kinscaer Sentry,3,35,no,no,287,934
2026-07-28,23,swap,Borough Backup,"Delney, Streetwise Lookout",6,35,no,no,644,929
2026-07-28,23,swap,Curious Farm Animals,Duty Beyond Death,5,35,no,no,321,930
2026-07-28,3,swap,"Red Guardian, Super-Soldier","Delney, Streetwise Lookout",25,35,no,no,804,934
2026-07-28,3,swap,Resolute Reinforcements,Dollmaker's Shop,27,35,no,no,489,934
